gland_dash_number,C,A,F,B,H,E
−339,3.6150,3.618,3.246,3.247,3.25,3.619
−340,3.7400,3.743,3.371,3.372,3.375,3.744
−341,3.8650,3.868,3.496,3.497,3.5,3.869
−342,3.9900,3.993,3.621,3.622,3.625,3.994
−343,4.1150,4.118,3.746,3.747,3.75,4.119
−344,4.2400,4.243,3.871,3.872,3.875,4.244
−345,4.3650,4.368,3.996,3.997,4,4.369
−346,4.4890,4.493,4.121,4.122,4.125,4.494
−347,4.6140,4.618,4.246,4.247,4.25,4.619
−348,4.7390,4.743,4.371,4.372,4.375,4.744
−349,4.8640,4.868,4.496,4.497,4.5,4.869
−425,4.9700,4.974,4.497,4.497,4.501,4.974
−426,5.0950,5.099,5,4.622,4.626,5.099
−427,5.2200,5.224,5,4.747,4.751,5.224
−428,5.3450,5.349,4.872,4.872,4.876,5.349
−429,5.4700,5.474,4.997,4.997,5.001,5.474
−430,5.5950,5.599,5.122,5.122,5.126,5.599
−431,5.7200,5.724,5.247,5.247,5.251,5.724
−432,5.8450,5.849,5.372,5.372,5.376,5.849
−433,5.9700,5.974,5.497,5.497,5.501,5.974
−434,6.0950,6.099,5.622,5.622,5.626,6.099
−435,6.2200,6.224,5.747,5.747,5.751,6.224
−436,6.3450,6.349,5.872,5.872,5.876,6.349
−437,6.4700,6.474,5.997,5.997,6.001,6.474
−438,6.7200,6.724,6.247,6.247,6.251,6.724
−439,6.9700,6.974,6.497,6.497,6.501,6.974
−440,7.2200,7.224,6.747,6.747,6.751,7.224
−441,7.4700,7.474,6.997,6.997,7.001,7.474
−442,7.7200,7.724,7.247,7.247,7.251,7.724
−443,7.9700,7.974,7,7.497,7.501,7.974
−444,8.2200,8.224,8,7.747,7.751,8.224
−445,8.4700,8.474,8,7.997,8.001,8.474
−446,8.9700,8.974,8.497,8.497,8.501,8.974
−447,9.4700,9.474,8.997,8.997,9.001,9.474
−448,9.9700,9.974,9.497,9.497,9.501,9.974
−449,10.4700,10.474,9.997,9.997,10.001,10.474
−450,10.9700,10.974,10.497,10.497,10.501,10.974
−451,11.4700,11.474,10.997,10.997,11.001,11.474
−452,11.9700,11.974,11.497,11.497,11.501,11.974
−453,12.4700,12.474,11.997,11.997,12.001,12.474
−454,12.9700,12.974,12.497,12.497,12.501,12.974
−455,13.4700,13.474,12.997,12.997,13.001,13.474
