gland_number,A,A_tol,B,B_tol,C,C_tol,D,D_tol
625,7.974,0.003,7.247,0.003,7.247,0.003,7.974,0.003
626,8.224,0.003,7.497,0.003,7.497,0.003,8.224,0.003
627,8.474,0.003,7.747,0.003,7.747,0.003,8.474,0.003
628,8.724,0.003,7.997,0.003,7.997,0.003,8.724,0.003
629,8.974,0.003,8.247,0.003,8.247,0.003,8.974,0.003
630,9.224,0.003,8.497,0.003,8.497,0.003,9.224,0.004
631,9.474,0.004,8.747,0.003,8.747,0.003,9.474,0.004
632,9.724,0.004,8.997,0.003,8.997,0.003,9.724,0.004
633,9.974,0.004,9.247,0.003,9.247,0.003,9.974,0.004
634,10.224,0.004,9.497,0.003,9.497,0.003,10.224,0.004
635,10.474,0.004,9.747,0.003,9.747,0.003,10.474,0.004
636,10.724,0.004,9.997,0.003,9.997,0.003,10.724,0.004
637,10.974,0.004,10.247,0.003,10.247,0.003,10.974,0.004
638,11.224,0.004,10.497,0.003,10.497,0.003,11.224,0.004
639,11.474,0.004,10.747,0.003,10.747,0.003,11.474,0.004
640,11.724,0.004,10.997,0.003,10.997,0.003,11.724,0.004
641,11.974,0.004,11.247,0.003,11.247,0.003,11.974,0.004
642,12.224,0.004,11.497,0.003,11.497,0.003,12.224,0.004
643,12.474,0.004,11.747,0.003,11.747,0.003,12.474,0.004
644,12.724,0.004,11.997,0.003,11.997,0.003,12.724,0.004
645,12.974,0.004,12.247,0.003,12.247,0.003,12.974,0.004
646,13.224,0.004,12.497,0.003,12.497,0.003,13.224,0.004
647,13.474,0.004,12.747,0.003,12.747,0.003,13.474,0.004
648,13.724,0.004,12.997,0.003,12.997,0.003,13.724,0.004
649,13.974,0.004,13.247,0.003,13.247,0.003,13.974,0.004
650,14.224,0.004,13.497,0.003,13.497,0.003,14.224,0.004
651,14.474,0.004,13.747,0.003,13.747,0.003,14.474,0.004
652,14.724,0.004,13.997,0.003,13.997,0.003,14.724,0.004
653,14.974,0.004,14.247,0.003,14.247,0.003,14.974,0.004
654,15.224,0.004,14.497,0.003,14.497,0.003,15.224,0.004
655,15.474,0.004,14.747,0.003,14.747,0.003,15.474,0.004
656,15.724,0.004,14.997,0.003,14.997,0.003,15.724,0.004
657,15.974,0.004,15.247,0.003,15.247,0.003,15.974,0.004
658,16.224,0.004,15.497,0.003,15.497,0.003,16.224,0.004
659,16.474,0.004,15.747,0.003,15.747,0.003,16.474,0.004
660,16.724,0.004,15.997,0.003,15.997,0.003,16.724,0.004
661,16.974,0.004,16.247,0.003,16.247,0.003,16.974,0.004
662,17.224,0.004,16.497,0.003,16.497,0.003,17.224,0.004
663,17.474,0.004,16.747,0.003,16.747,0.003,17.474,0.004
664,17.724,0.004,16.997,0.003,16.997,0.003,17.724,0.004
665,17.974,0.004,17.247,0.003,17.247,0.003,17.974,0.004
666,18.224,0.004,17.497,0.003,17.497,0.003,18.224,0.004
667,18.474,0.004,17.747,0.003,17.747,0.003,18.474,0.004
668,18.724,0.004,17.997,0.003,17.997,0.003,18.724,0.004
669,18.974,0.004,18.247,0.003,18.247,0.003,18.974,0.004
670,19.224,0.004,18.497,0.003,18.497,0.003,19.224,0.004
671,19.474,0.004,18.747,0.003,18.747,0.003,19.474,0.004
672,19.724,0.004,18.997,0.003,18.997,0.003,19.724,0.004
673,19.974,0.004,19.247,0.003,19.247,0.003,19.974,0.004
674,20.474,0.004,19.747,0.003,19.747,0.003,20.474,0.004
675,20.724,0.004,19.997,0.003,19.997,0.003,20.724,0.004
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
